"x"
"BEST4"
"CORO6"
"LEAP2"
"MFSD6L"
"MEGF11"
"SP7"
"CTCFL"
"DDR1"
"PTPN21"
"MSI2"
"ANKAR"
"HSPA6"
"NEXN"
"RBBP6"
"SCGB1C1"
"SLC39A13"
"EYA3"
"TTLL12"
"ZDHHC11"
"C15orf27"
"GPR182"
"WDR88"
"WFDC2"
"PRR22"
"ZNF485"
"C19orf26"
"C4orf33"
"SCIN"
"FAM86B1"
"ETV3"
"ALG10"
"RDH10"
"WFDC6"
"ZNF333"
"PRSS33"
"CYP2E1"
"CALML6"
"FAM122C"
"EPHB3"
"PAX8"
"PIGX"
"BRF1"
"SRSF12"
"HOXD4"
"CATSPER1"
"C10orf25"
"RAX2"
"WFDC9"
"GIMAP1"
"UBA7"
