"x"
"CCL5"
"CLEC12A"
"GAPT"
"HSPA6"
"SCIN"
"NEXN"
"GIMAP1"
"NEDD1"
"TMEM106A"
"RDH10"
"PXK"
"DDR1"
"CYP2E1"
"PRSS33"
"SRSF12"
"MEGF11"
"TSSK3"
"CCDC65"
"EPHB3"
"SLC39A5"
"ZDHHC11"
"GUCA1A"
"C4orf33"
"CTCFL"
"SCARB1"
"PDE7A"
"UBA7"
"TRIOBP"
"ARMCX4"
"SPATA17"
