"x"
"TM2D3"
"DDR1"
"TTLL12"
"SCARB1"
"ESRRA"
"PAX8"
"RFC2"
"C15orf40"
"PIGX"
"SLC39A13"
"CRYZL1"
"AFG3L1P"
"UBA7"
"PXK"
"MAPK1"
"CNOT7"
"FAM86B1"
"CENPBD1"
"RBBP6"
"NEDD1"
"C4orf33"
"TTC39C"
"MFAP3"
"TRIOBP"
"LEAP2"
"NEXN"
"ATP6V1E2"
"RAX2"
"HSPA6"
"SLC39A5"
