"x"
"SLC39A5"
"ETV3"
"HSPA6"
"NEXN"
"LEAP2"
"RAX2"
"TRIOBP"
"ATP6V1E2"
"MFAP3"
"NEDD1"
"C4orf33"
"TTC39C"
"RBBP6"
"CENPBD1"
"PXK"
"CNOT7"
"FAM86B1"
"MAPK1"
"UBA7"
"CRYZL1"
"AFG3L1P"
"PIGX"
"SLC39A13"
"RFC2"
"C15orf40"
"SCARB1"
"PAX8"
"DDR1"
"TTLL12"
"ESRRA"
"TM2D3"
"KLHL10"
"WDR88"
"SP7"
"ENTHD1"
"SCGB1C1"
"GSC"
"FAM122C"
"TMEM196"
"MEGF11"
"CALR3"
"ODF4"
"C19orf26"
"CALML6"
"BEST4"
"WDR17"
"WFDC6"
"TTLL10"
"CILP2"
"SPATA17"
"ANKAR"
"ADAM32"
"CTCFL"
"HOXD4"
"CDH23"
"PRR22"
"ESX1"
"WFDC9"
"ARMCX4"
"NLRP5"
"TIMD4"
"MFSD6L"
"GPR182"
"CCDC65"
"SRSF12"
"BRF1"
"GUCA1A"
"C10orf25"
"ALG10"
"WFDC2"
