"x"
"SLC39A5"
"ETV3"
"HSPA6"
"NEXN"
"LEAP2"
"RAX2"
"TRIOBP"
"ATP6V1E2"
"MFAP3"
"NEDD1"
"C4orf33"
"TTC39C"
"RBBP6"
"CENPBD1"
"PXK"
"CNOT7"
"FAM86B1"
"MAPK1"
"UBA7"
"CRYZL1"
"AFG3L1P"
"PIGX"
"SLC39A13"
"RFC2"
"C15orf40"
"SCARB1"
"PAX8"
"DDR1"
"TTLL12"
"ESRRA"
