"x"
"CCL5"
"CLEC12A"
"GAPT"
"HSPA6"
"SCIN"
"NEXN"
"GIMAP1"
"NEDD1"
"TMEM106A"
"RDH10"
"PXK"
"DDR1"
"CYP2E1"
"PRSS33"
"SRSF12"
"MEGF11"
"TSSK3"
"CCDC65"
"EPHB3"
"SLC39A5"
"ZDHHC11"
"GUCA1A"
"C4orf33"
"CTCFL"
"SCARB1"
"PDE7A"
"UBA7"
"TRIOBP"
"ARMCX4"
"SPATA17"
"MAPK1"
"RBBP6"
"SCGB1C1"
"MFAP3"
"GSC"
"ENTHD1"
"LEAP2"
"PTPN21"
"MFSD6L"
"CDH23"
"TTLL10"
"BEST4"
"ZNF485"
"CRYZL1"
"KLK8"
"TIMD4"
"CALR3"
"SLC46A1"
"KLHL10"
"PIGX"
"CNOT7"
"WDR17"
"HOXD4"
"TM2D3"
"RFC2"
"ESX1"
"PAX8"
"CYP2A6"
"AFG3L1P"
"CILP2"
"ZNF333"
"TTC39C"
"GPR182"
"CENPBD1"
"CATSPER1"
"BRF1"
"ALG10"
"C10orf25"
"FAM71A"
"CALML6"
