"x"
"TM2D3"
"DDR1"
"TTLL12"
"SCARB1"
"ESRRA"
"PAX8"
"RFC2"
"C15orf40"
"PIGX"
"SLC39A13"
"CRYZL1"
"AFG3L1P"
"UBA7"
"PXK"
"MAPK1"
"CNOT7"
"FAM86B1"
"CENPBD1"
"RBBP6"
"NEDD1"
"C4orf33"
"TTC39C"
"MFAP3"
"TRIOBP"
"LEAP2"
"NEXN"
"ATP6V1E2"
"RAX2"
"HSPA6"
"SLC39A5"
"ETV3"
"THRA"
"TIRAP"
"FAM71A"
"MSI2"
"CYP2A6"
"PDE7A"
"CORO6"
"CCL5"
"ZDHHC11"
"GIMAP1"
"RDH10"
"CATSPER1"
"EPHB3"
"EYA3"
"TMEM106A"
"VPS18"
"C15orf27"
"TSSK3"
"SLC46A1"
"PRSS33"
"ZNF333"
"CLEC4F"
"PTPN21"
"DNAJC5G"
"ZNF485"
"WFDC2"
"KLK8"
"CYP2E1"
"GAPT"
"SCIN"
"ALG10"
"C10orf25"
"CLEC12A"
"BRF1"
"GPR182"
"WFDC9"
"PRR22"
"NLRP5"
"ESX1"
